cat|length
370|5767.65633364848
371|1151.47519320134
372|923.211955658097
373|26463.7589785469
374|4335.23491165505
375|3667.44669180459
376|7330.28564222257
377|8268.47402122581
378|7513.71132929591
379|10227.5529563346
380|11239.8970360732
381|4523.15542506128
382|1184.86396336883
383|1940.6407309782
384|1259.04579265873
385|1513.91802494389
386|8440.80433072771
387|14225.4253464402
388|1371.98565763196
389|2466.54952428637
390|42009.1062010728
