cat|length
110|355.785795679077
111|512.616638503263
112|389.857985748169
113|640.548885998131
114|419.124257135343
115|484.605691698824
116|309.743415491239
117|339.009686878253
118|1366.38593699224
119|1042.89703433231
120|216.251034123258
121|780.971296079218
122|60.3078398240575
123|240.343710770728
124|658.212643323731
125|455.339420311705
126|701.744374346652
127|60.3078398240745
128|939.945112010457
129|484.605691698868
130|1121.75628000696
131|456.594744894209
132|2143.43896291433
133|2641.05478966648
134|297.253252905155
135|847.708055224549
136|1987.12809255748
137|30.1539199119996
138|1064.84673787264
139|476.033799269526
140|122.758652755199
141|1106.23549578878
142|163.259762145972
143|479.432096959308
144|416.093635503639
145|1508.06367165554
146|1362.46766683573
147|384.684391008792
148|954.578247703608
149|632.344669626613
150|1076.08157587679
151|973.129653554366
152|837.360865745874
153|553.485423951365
154|223.56760197003
155|316.172334813318
156|170.576329992764
157|186.09711421117
158|1292.33260999983
159|420.011905660189
160|374.337201529773
161|393.256283438074
162|1994.81233646195
163|331.693119031754
164|315.284686288187
165|470.86020452999
166|221.424628862651
167|30.153919912116
168|62.4508129312308
169|284.763090318882
170|693.9078340331
171|42.6440824982861
172|228.741196709425
173|3968.56261790836
174|1794.60205902451
175|286.906063426172
176|1076.44925193497
177|228.741196709532
178|1342.29326034476
179|523.851476507068
180|656.437346273726
181|1682.19059574794
182|1346.5792065598
183|1455.96004820366
184|496.208205760312
185|817.554135312868
186|495.840529702255
187|706.917969086211
188|333.836092139032
189|491.554583488059
190|824.503027101977
191|255.864494989004
192|635.375291258375
193|612.537939193493
194|1295.21093522208
195|1845.29806148501
196|2239.96196591494
197|873.576028921961
198|243.374332403067
199|447.13520393997
200|788.287863925773
201|478.544448434252
202|1142.81833502243
203|1574.9527272116
204|448.390528522678
205|236.057764556426
206|1546.4218079392
207|545.2812075802
208|2778.44657811527
209|388.97033722333
210|339.897335403151
211|168.433356885491
212|423.410203350311
213|917.475436002876
214|1268.23993335221
215|619.854507040402
216|409.664716181296
217|1310.36404338338
218|180.035870947158
219|970.099031922549
220|294.222631272789
221|355.785795679145
222|263.181062836159
223|1366.38593699272
224|399.317526701998
225|426.440824982066
226|348.469227832608
227|1653.29200041844
228|1920.75900946903
229|283.875441793618
230|125.789274387263
231|661.243264955614
232|757.246295489201
233|1257.00509534834
234|898.556354094336
235|741.35783521314
236|851.626325381854
237|1143.18601108031
238|465.686609790595
239|437.675662985899
240|442.849257725483
241|358.816417311365
242|422.154878767507
243|827.533648733974
244|1927.18792879143
245|125.78927438739
246|641.436534522615
247|288.161388008607
248|933.88386874618
249|1481.46034584339
250|375.592526112478
251|97.7783275824754
252|774.542376757074
253|353.642822571822
254|1597.27010680924
255|1039.8664127004
256|1496.46115759481
257|661.243264956176
258|554.00539641905
259|539.372260725508
260|826.646000209363
261|372.194228422456
262|271.385279207465
263|1499.85945528457
264|831.819594948742
265|1564.97321379012
266|578.985721591873
267|828.788973316673
268|1248.80087897651
269|395.031580487586
270|2507.06129890764
