cat|value|label|strahler|area
622|608||1|182212.860551
623|605||1|148983.974166
624|607||1|210293.609609
625|606||1|135567.616284
626|611||1|158656.232175
627|610||1|195317.210111
628|609||1|148827.970005
629|619||1|335876.959561
630|612||1|162088.323727
631|613||1|196097.230918
632|617||1|243054.48351
633|614||1|295783.890073
634|615||1|184396.918811
635|620||1|193913.172659
636|616||1|207641.538865
637|618||1|210917.626255
638|626||1|145863.890938
639|623||1|138687.699513
640|622||1|144147.845162
641|621||1|191885.11856
642|625||1|360213.608744
643|638||1|415127.073567
644|624||1|185020.935457
645|627||1|184084.910489
646|629||1|183460.893842
647|631||1|195317.210112
648|630||1|173320.62335
649|628||1|229638.125626
650|634||1|139623.724481
651|640||1|296875.919203
652|644||1|178624.764838
653|650||1|322304.597516
654|642||1|192041.122721
655|639||1|246018.562577
656|633||1|138843.703674
657|632||1|105146.804804
658|643||1|378622.099793
659|641||1|262242.995365
660|635||1|95630.550957
661|637||1|280651.486414
662|646||1|223865.971653
663|636||1|182524.868874
664|648||1|232446.200532
665|658||1|189701.0603
666|645||1|151792.049072
667|651||1|388762.370286
668|652||1|132291.528893
669|662||1|228702.100657
670|649||1|186112.964587
671|647||1|248670.633321
672|663||1|148359.957521
673|654||1|117003.121073
674|656||1|247266.595868
675|653||1|259902.932943
676|657||1|141183.766095
677|655||1|152572.069879
679|661||1|116223.100266
682|659||1|131043.495602
683|660||1|111854.983746
684|668||1|139935.732803
685|664||1|201869.384892
686|665||1|286111.632065
687|677||1|158656.232175
688|673||1|229950.133949
689|670||1|222929.946685
690|666||1|137127.657898
691|672||1|225582.017429
692|674||1|162868.344534
693|671||1|103118.750706
694|667||1|429011.443936
695|669||1|163180.352857
696|685||1|146643.911745
697|678||1|121995.254239
698|679||1|257874.878845
699|675||1|139467.720319
700|676||1|123243.28753
701|681||1|332600.872171
702|684||1|322148.593355
703|682||1|161932.319565
704|691||1|145083.870131
705|680||1|97190.592571
706|683||1|268483.161823
707|693||1|210761.622093
708|686||1|219809.863456
709|692||1|235410.279599
710|689||1|230418.146433
711|687||1|152884.078202
712|688||1|114819.062814
713|690||1|122619.270885
714|695||1|165520.415278
715|698||1|195317.210112
716|696||1|166300.436085
717|694||1|166456.440247
718|701||1|166300.436086
719|702||1|193913.172658
720|697||1|169108.510991
721|703||1|199841.330793
722|699||1|181900.852228
723|705||1|210137.605447
724|717||1|440867.760204
725|700||1|122775.275046
726|712||1|243210.487671
727|711||1|158188.21969
728|706||1|102026.721576
729|704||1|178000.748193
730|709||1|234318.250469
731|708||1|175816.689933
732|714||1|501085.366516
733|707||1|241494.441895
734|710||1|202493.401537
735|716||1|141495.774418
736|713||1|138843.703674
737|715||1|144459.853485
738|721||1|181744.848067
739|725||1|172072.590058
740|720||1|165988.427762
741|718||1|204833.463959
742|722||1|146019.895099
743|719||1|189545.056139
744|731||1|221525.909232
745|724||1|132447.533055
746|723||1|186892.985394
747|733||1|292975.815168
748|730||1|237906.346182
749|738||1|148827.970005
750|729||1|214349.717806
751|727||1|243210.48767
752|735||1|282679.540512
753|732||1|218561.830165
754|737||1|193289.156013
755|726||1|235566.283761
756|745||1|200621.3516
757|728||1|97658.605056
758|741||1|97970.613378
759|736||1|152104.057395
760|748||1|134631.591315
761|747||1|226050.029913
762|744||1|113883.037844
763|743||1|167704.473538
765|742||1|163180.352857
766|734||1|129639.458149
767|751||1|158344.223852
768|739||1|153976.107332
769|749||1|185488.947941
770|746||1|243210.487671
771|740||1|123087.283369
772|754||1|132603.537217
773|752||1|168640.498507
774|750||1|146019.895099
775|753||1|174100.644157
776|757||1|519805.865888
777|756||1|189545.056139
778|760||1|250542.683258
779|765||1|163024.348695
780|762||1|170824.556767
781|768||1|182212.860552
782|761||1|225738.02159
783|759||1|134787.595476
784|758||1|226986.054882
785|755||1|169732.527636
786|763||1|129483.453988
787|771||1|188453.027009
788|777||1|510601.620363
789|767||1|150700.019942
790|786||1|270043.203437
791|764||1|195473.214273
792|770||1|215441.746936
793|769||1|151324.036588
794|766||1|167392.465215
795|772||1|137127.657898
796|774||1|141963.786902
797|776||1|229170.113142
798|773||1|123711.300015
799|789||1|204833.463959
801|775||1|100934.692446
802|779||1|203897.43899
803|778||1|145551.882615
804|781||1|186736.981233
805|787||1|176128.698256
806|780||1|145239.874293
807|782||1|123087.283369
808|798||1|304208.11479
811|794||1|95006.534311
813|784||1|265831.091078
814|783||1|121839.250078
815|785||1|107642.871387
816|795||1|147891.945037
817|790||1|144147.845163
818|791||1|133383.558023
819|797||1|128547.429019
820|796||1|204989.46812
821|799||1|341025.096888
822|788||1|132603.537217
823|800||1|326048.69739
824|801||1|194537.189304
825|792||1|137751.674544
826|793||1|120123.204302
827|803||1|287827.677841
828|802||1|242898.479348
829|811||1|175036.669125
830|805||1|134475.587153
831|816||1|182836.877197
832|814||1|269731.195115
833|817||1|165676.41944
834|813||1|207953.547187
835|806||1|186736.981233
836|820||1|297967.948333
837|809||1|144459.853485
838|804||1|283459.56132
839|834||1|537902.348614
840|812||1|158188.219691
841|810||1|128391.424858
842|808||1|164116.377826
843|807||1|168016.481861
844|818||1|189857.064461
845|825||1|220589.884263
846|815||1|156940.186399
847|830||1|158656.232175
848|823||1|125895.358275
849|821||1|208577.563833
850|822||1|142119.791064
851|819||1|175036.669125
854|827||1|261774.982881
855|828||1|126207.366598
856|829||1|194849.197627
857|826||1|133071.549701
858|831||1|168640.498507
859|824||1|100310.6758
860|837||1|250074.670774
861|840||1|160528.282113
862|832||1|194693.193466
863|836||1|318560.497642
864|833||1|167080.456892
865|835||1|125115.337468
866|845||1|181588.843905
867|841||1|316532.443544
868|838||1|131199.499763
869|839||1|156472.173915
870|847||1|221681.913393
871|843||1|158656.232175
872|848||1|209825.597124
873|849||1|236346.304568
874|842||1|153976.107332
875|851||1|152416.065718
876|846||1|180496.814776
877|844||1|190169.072784
878|855||1|209513.588802
880|859||1|174724.660803
881|852||1|245082.537608
